temperature,humidity,co2,yield
23.4,82,641,20.6
24.6,93,673,22.3
24.2,89,631,21.5
22.5,84,686,21.0
25.6,80,688,21.1
22.4,82,667,20.2
23.1,88,647,20.4
25.1,80,685,21.6
26.6,86,578,21.7
25.2,94,580,21.2
25.2,86,584,21.1
23.1,88,658,21.0
25.4,84,628,21.4
25.6,86,615,20.9
23.7,83,591,20.4
24.2,91,629,21.3
25.6,85,621,21.7
24.5,80,616,20.5
22.5,85,652,20.1
22.5,90,598,20.2
23.0,88,664,20.7
22.3,84,572,19.2
26.1,81,666,21.5
25.8,92,591,21.5
24.4,86,585,20.3
24.4,84,583,20.0
26.6,89,598,22.2
25.9,93,607,22.0
26.2,80,615,21.5
24.0,92,633,21.0
25.0,89,570,20.6
25.8,89,666,21.7
26.6,81,577,21.2
25.6,85,650,21.6
23.6,94,659,21.9
26.3,81,605,21.2
23.5,84,609,20.6
23.6,86,608,20.8
25.2,85,612,21.4
23.9,83,667,21.0
23.6,83,633,19.9
26.6,93,609,22.4
22.3,87,606,19.9
25.4,80,676,21.5
24.7,88,628,20.9
23.5,92,578,21.0
25.3,90,663,21.9
22.6,94,571,20.7
23.5,89,658,21.5
26.8,94,647,23.1
26.6,87,576,21.4
22.4,94,666,21.5
23.9,83,643,20.5
23.3,87,598,20.6
22.3,93,678,21.3
22.6,85,572,19.1
25.6,87,640,21.3
24.3,82,689,21.3
25.4,80,605,21.1
25.6,91,685,22.8
24.8,83,613,20.4
25.3,86,611,21.3
26.3,92,625,22.2
23.2,94,608,21.2
23.4,83,594,19.9
24.0,93,571,20.5
23.1,92,581,20.2
22.0,82,622,20.0
25.6,91,626,22.3
24.0,87,596,20.8
25.2,88,624,21.1
22.1,87,634,20.4
22.6,91,664,20.6
24.9,94,622,21.2
24.9,87,596,21.0
26.2,81,640,21.7
26.6,81,589,20.6
25.8,90,685,22.1
26.9,83,582,20.8
22.9,83,587,20.0
22.4,88,663,20.3
26.5,84,630,21.6
26.6,85,604,21.9
26.8,86,627,21.5
26.1,81,604,21.4
22.6,88,595,20.5
23.5,91,646,21.3
26.9,92,588,22.0
24.0,90,674,22.0
22.8,92,587,20.6
22.8,88,665,20.8
23.6,83,667,20.6
26.3,83,687,21.9
22.2,89,613,20.4
26.7,91,626,22.2
26.8,82,606,21.6
25.7,80,582,20.8
22.8,84,681,20.2
24.3,86,665,20.8
24.5,94,614,21.1
24.3,94,679,22.5
23.5,86,606,20.4
25.7,85,627,21.8
24.5,83,578,20.3
23.8,92,590,20.7
24.4,89,612,20.9
24.9,84,583,20.6
22.0,91,635,20.2
25.9,93,652,22.7
23.9,94,581,20.5
26.8,82,654,22.2
22.5,80,686,20.7
22.1,89,611,19.6
25.7,93,599,22.1
22.4,91,570,19.8
26.2,94,625,22.1
26.7,92,651,22.6
23.6,86,600,20.8
23.8,92,675,21.9
24.7,85,662,21.1
26.3,94,662,23.0
26.6,86,648,22.1
22.4,92,650,20.8
25.3,90,680,22.3
23.4,85,674,20.7
25.8,89,570,21.0
22.2,83,664,19.7
23.3,91,622,20.9
22.4,86,686,20.7
26.5,86,671,22.0
22.2,89,611,19.9
22.6,91,642,20.8
25.3,87,621,21.5
26.1,93,685,22.8
25.5,88,677,22.1
24.8,81,613,20.9
23.7,88,612,21.1
23.4,88,631,20.8
23.0,84,572,19.7
22.1,82,588,19.0
25.8,93,589,21.7
25.1,88,583,21.4
22.8,92,624,20.6
25.6,80,640,21.5
26.4,90,616,22.0
22.2,88,660,20.2
22.5,80,676,20.2
23.8,85,661,20.7
25.5,82,668,21.5
26.7,80,601,21.3
22.5,94,605,20.6
22.0,87,603,19.7
24.3,81,632,20.9
23.3,93,652,21.3
22.7,84,581,20.0
22.4,91,636,20.6
26.3,94,624,21.9
25.5,92,599,21.8
25.7,87,618,21.8
23.2,89,603,20.8
25.7,87,604,21.3
25.3,85,660,21.2
23.4,85,679,21.2
24.6,94,675,21.8
26.7,86,571,21.0
25.1,89,681,21.7
25.9,93,646,22.6
23.9,81,603,20.5
25.1,86,668,21.7
25.5,93,614,21.8
22.4,92,577,20.2
22.7,87,673,21.1
25.6,80,645,20.7
27.0,83,609,22.0
23.5,93,687,21.9
23.5,88,636,20.4
22.7,80,619,19.2
22.7,85,667,20.3
23.0,83,666,20.5
26.9,93,588,22.3
25.5,81,628,21.1
23.3,90,655,20.7
26.6,80,629,21.6
22.2,80,656,20.3
22.9,87,689,20.6
26.8,80,648,21.9
24.1,88,672,21.0
25.8,89,688,22.7
23.5,90,671,21.0
23.6,80,672,20.1
22.9,86,589,19.8
22.9,80,674,20.8
23.2,85,614,20.6
24.4,86,620,20.4
23.3,81,634,19.7
25.3,86,629,21.3
26.1,93,619,22.0
22.1,85,602,19.9
26.8,84,607,21.3
26.0,89,670,22.6
